model,converged,loglik,AIC,BIC,error
"EGARCH(1,1)-t",True,2654.800213451388,-5299.600426902776,-5269.545310006844,
Custom EGARCH no-X-t,True,2654.7954164556436,-5299.590832911287,-5269.535716015355,
EGARCH-X signed lag1-t,True,2667.7021462970633,-5315.404292594127,-5255.294058802262,
EGARCH-X abs lag1-t,True,2666.8259737589497,-5313.651947517899,-5253.541713726035,
"GARCH(1,1)-t",True,2521.361729253603,-5034.723458507206,-5010.679364990459,
"GJR-GARCH(1,1)-t",True,2293.2533880297706,-4576.506776059541,-4546.451659163609,
