model,variable,coef,std_error_HAC,t_stat,p_value,significance
HAC_dynamic_controls,const,-0.195776157052221,0.022210815546103983,-8.814451529068785,1.202723967297641e-18,***
HAC_dynamic_controls,log_selected_cond_vol_lag1,0.8978538856575665,0.010984816874697663,81.73589927800033,0.0,***
HAC_dynamic_signed_lag1,const,-0.1965577668988149,0.022273051744217013,-8.824914033158894,1.0954392546611633e-18,***
HAC_dynamic_signed_lag1,log_selected_cond_vol_lag1,0.8974457599958685,0.011020009358694944,81.43784009473377,0.0,***
HAC_dynamic_signed_lag1,z_vix_change_lag1,-0.003089816611434714,0.0026304891439801604,-1.174616750844883,0.24014807863593068,
HAC_dynamic_signed_lag1,z_us10y_change_lag1,-0.0015764607464186474,0.0029679421681115515,-0.531162892375939,0.5953059048868772,
HAC_dynamic_signed_lag1,z_dxy_return_lag1,-0.005152751026638316,0.0028790160071112854,-1.7897611593373617,0.07349231568291432,*
HAC_dynamic_signed_lag1,z_oil_change_lag1,-0.0005190227700161785,0.002196518109340245,-0.23629341720841732,0.8132049946389905,
HAC_dynamic_signed_lag1,z_vnindex_return_lag1,-0.0008289584635928016,0.0032558504157691333,-0.25460581959720524,0.7990275639028649,
HAC_dynamic_abs_lag1,const,-0.1995509381805351,0.024294808834882543,-8.213727448392984,2.1442598348613724e-16,***
HAC_dynamic_abs_lag1,log_selected_cond_vol_lag1,0.8967742034951208,0.011191756546275345,80.12810140992303,0.0,***
HAC_dynamic_abs_lag1,abs_z_vix_change_lag1,-0.005121023845295822,0.003186220529357487,-1.607240866760875,0.10800154046828325,
HAC_dynamic_abs_lag1,abs_z_us10y_change_lag1,-0.000895027151295455,0.00423657123449293,-0.21126215086587105,0.8326827155873748,
HAC_dynamic_abs_lag1,abs_z_dxy_return_lag1,-0.00307625536289758,0.004742342590410563,-0.6486784335484409,0.5165462469929747,
HAC_dynamic_abs_lag1,abs_z_oil_change_lag1,0.000589486722806655,0.0030903596146078555,0.19075020266903683,0.8487213047098014,
HAC_dynamic_abs_lag1,abs_z_vnindex_return_lag1,0.010632051146981111,0.004212421020635652,2.5239763772180446,0.011603572568985475,**
