model,converged,loglik,AIC,BIC,error
Custom EGARCH no-X-t,True,3051.8592020768615,-6093.718404153723,-6062.894430132499,
"EGARCH(1,1)-t",True,3051.858469699934,-6093.716939399868,-6062.8929653786445,
EGARCH-X signed lag1-t,True,3063.5982849769102,-6107.1965699538205,-6045.548621911373,
EGARCH-X abs lag1-t,True,3059.594577650001,-6099.189155300002,-6037.541207257555,
"GARCH(1,1)-t",True,2648.0686987231775,-5288.137397446355,-5263.478218229376,
"GJR-GARCH(1,1)-t",True,2635.6831336274686,-5261.366267254937,-5230.542293233713,
