model,variance_specification,distribution,converged,loglik,AIC,BIC,error
"GARCH(1,1)-normal","GARCH(1,1)",normal,True,1616.1855696599591,-3226.3711393199183,-3208.338069182359,
"GARCH(1,1)-t","GARCH(1,1)",t,True,2521.361729253603,-5034.723458507206,-5010.679364990459,
"GARCH(1,1)-skewt","GARCH(1,1)",skewt,True,2325.1566824257407,-4640.313364851481,-4610.258247955549,
"GJR-GARCH(1,1)-normal","GJR-GARCH(1,1)",normal,True,1677.9773520099789,-3347.9547040199577,-3323.910610503212,
"GJR-GARCH(1,1)-t","GJR-GARCH(1,1)",t,True,2293.2533880297706,-4576.506776059541,-4546.451659163609,
"GJR-GARCH(1,1)-skewt","GJR-GARCH(1,1)",skewt,True,2293.2533880297706,-4574.506776059541,-4538.440635784423,
"EGARCH(1,1)-normal","EGARCH(1,1)",normal,True,1755.7957961446175,-3503.591592289235,-3479.5474987724892,
"EGARCH(1,1)-t","EGARCH(1,1)",t,True,2654.800213451388,-5299.600426902776,-5269.545310006844,
"EGARCH(1,1)-skewt","EGARCH(1,1)",skewt,True,2671.5140384107895,-5331.028076821579,-5294.9619365464605,
