model,volatility_source,nobs,r2,adj_r2,AIC,BIC,hac_lags,durbin_watson,LB_resid_p_lag10,LB_resid_p_lag20,x_cols
HAC_dynamic_controls,"ARMA(4,5)-GJR-GARCH(1,1)-t",3514,0.8078537886227467,0.8077990772869331,-2804.23503104256,-2791.9060105050658,5,1.9325798318215683,0.3448969100460964,0.008071338842542655,log_selected_cond_vol_lag1
HAC_dynamic_abs_lag1,"ARMA(4,5)-GJR-GARCH(1,1)-t",3514,0.8083605653746376,0.8080326963675797,-2803.5152871424134,-2760.363715261184,5,1.932127963228783,0.3549132104939593,0.010416604545903735,"log_selected_cond_vol_lag1, abs_z_vix_change_lag1, abs_z_us10y_change_lag1, abs_z_dxy_return_lag1, abs_z_oil_change_lag1, abs_z_vnindex_return_lag1"
HAC_dynamic_signed_lag1,"ARMA(4,5)-GJR-GARCH(1,1)-t",3514,0.8081524710933153,0.8078242460652457,-2799.701632724519,-2756.55006084329,5,1.935122141739826,0.340732321987163,0.011779028170873859,"log_selected_cond_vol_lag1, z_vix_change_lag1, z_us10y_change_lag1, z_dxy_return_lag1, z_oil_change_lag1, z_vnindex_return_lag1"
