model,requested_target,estimated_target,target_transformation,shock,horizon_weeks,orthogonalized_irf
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,9,-1.2612149011901397e-08
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,9,2.8386798034745646e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,9,8.463707766479889e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,10,-1.9349939801070857e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,10,-1.278975442694495e-10
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,10,1.0301657867638042e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,10,1.02212828239195e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,10,4.1917112840815324e-10
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,11,1.7231270620038026e-10
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,11,-2.235941782658744e-10
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,11,-1.6309736069248191e-10
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,11,-1.1361837895069534e-10
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,11,-8.63819476011069e-11
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,12,-1.775860711867066e-12
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,12,4.449543401404063e-11
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,12,3.176977215565306e-11
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,12,-2.0250294302646887e-11
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,12,-1.4406989274095901e-11
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,0,0.020375085206087256
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,0,-0.006774076688403166
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,0,-0.03016789421981107
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,0,-0.04839635608319234
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,0,-0.01586883503281163
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,1,-0.01540641105534106
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,1,-0.03272971719972541
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,1,-0.03542422644957878
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,1,-0.07264100551850357
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,1,-0.0017038358119496313
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,2,-0.005127616369801597
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,2,-0.024172292741448075
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,2,-0.02298187517653009
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,2,-0.051910123455173686
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,2,-0.0018988371480824844
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,3,-0.003931948663035312
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,3,-0.016429339954467305
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,3,-0.016073771368905088
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,3,-0.036064330225993216
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,3,-0.0011535194754922068
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,4,-0.002735657988904832
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,4,-0.011475403996633209
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,4,-0.0111842547142534
