Date,fx_return,realized_var_proxy,vix_change_lag1,us10y_change_lag1,dxy_return_lag1,oil_change_lag1,vnindex_return_lag1
2010-01-06,0.0,0.0,-0.6899999999999977,-0.08000000000000007,0.11602188397841218,0.21999999999999886,2.9499652393838005
2010-01-07,0.027068727664492087,0.0007327160173744392,-0.19000000000000128,0.08000000000000007,-0.1676293117701455,1.3800000000000097,0.36176573442991966
2010-01-08,-0.027068727664492087,0.0007327160173744392,-0.10000000000000142,0.0,0.5405493139084783,-0.5200000000000102,-0.20977718874828355
2010-01-11,0.0,0.0,-0.9299999999999997,-0.020000000000000018,-0.5663580946203339,0.14000000000000057,-2.3601034730493353
2010-01-12,0.0,0.0,-0.5799999999999983,0.020000000000000018,-0.6085358547234243,-0.19999999999998863,-1.127468601920345
2010-01-13,0.0,0.0,0.6999999999999993,-0.10999999999999988,-0.06496012277672492,-1.75,-3.3061025413958944
2010-01-14,0.027306727947618015,0.0007456573912052228,-0.3999999999999986,0.05999999999999961,-0.1300370496600145,-1.1300000000000097,2.0459141293497574
2010-01-15,-0.02401337371722434,0.0005766421172830807,-0.22000000000000242,-0.040000000000000036,-0.1562640189794351,-0.3100000000000023,0.7287434056968856
2010-01-19,-0.0032933542303936747,1.0846182086851913e-05,0.28000000000000114,-0.05999999999999961,0.7659840453688282,-1.3900000000000006,-1.3579181881580915
2010-01-20,0.04116322089142699,0.0016944107541564113,-0.33000000000000185,0.029999999999999805,0.23252859660907177,1.0200000000000102,-1.9802231585759777
2010-01-21,-0.013856492943808973,0.00019200239670182786,1.1000000000000014,-0.04999999999999982,1.0780345132028302,-1.5600000000000023,-1.2203073230543815
2010-01-22,-0.027306727947618015,0.0007456573912052228,3.59,-0.06000000000000005,-0.02552871655989719,-1.5799999999999983,-2.2895454187922937
2010-01-25,0.0,0.0,5.039999999999999,0.0,-0.051086739191674724,-1.5900000000000034,-0.17363839469037856
2010-01-26,0.0,0.0,-1.8999999999999986,0.040000000000000036,-0.11503335733697995,0.6500000000000057,0.692751857561813
2010-01-27,0.027306727947618015,0.0007456573912052228,-0.8599999999999994,-0.010000000000000231,0.30647177551905713,-0.23000000000000398,3.471911123678062
2010-01-28,-0.02401337371722434,0.0005766421172830807,-1.4100000000000001,0.010000000000000231,0.31824862839195944,-1.0300000000000011,-2.3347363996991
2010-01-29,0.02401337371722434,0.0005766421172830807,0.5899999999999999,0.020000000000000018,0.279224979167747,-0.01999999999999602,-0.9605824917722217
2010-02-01,-0.027306727947618015,0.0007456573912052228,0.8900000000000006,-0.050000000000000266,0.7072491673356218,-0.7700000000000102,0.04150583216517845
2010-02-02,0.030077872938782946,0.0009046784405215715,-2.030000000000001,0.050000000000000266,-0.27725439932293483,1.5600000000000023,1.0300325352132766
2010-02-03,-0.002771144991164931,7.679244562058487e-06,-1.1099999999999994,-0.010000000000000231,-0.29067410992471565,2.799999999999997,0.20105045341107797
2010-02-04,-0.027306727947618015,0.0007456573912052228,0.120000000000001,0.06000000000000005,0.4546043935460098,-0.25,1.535503674467975
2010-02-05,0.027306727947618015,0.0007456573912052228,4.479999999999997,-0.10999999999999988,0.6905613721631454,-3.8299999999999983,1.671191989909282
2010-02-08,0.0,0.0,0.030000000000001137,-0.03000000000000025,0.6485483825897198,-1.9799999999999898,-2.1648602931104044
2010-02-09,0.0,0.0,0.40000000000000213,0.03000000000000025,-0.17419362979289588,0.7199999999999989,-0.3738929821055059
2010-02-10,0.0,0.0,-0.5100000000000016,0.04999999999999982,-0.549454967932661,1.8399999999999892,-1.706249238901858
2010-02-11,2.014619572076981,4.058692020195639,-0.6000000000000014,0.050000000000000266,0.21264398480411728,0.7700000000000102,1.6471927160218058
2010-02-12,0.7899065636912894,0.6239523793625811,-1.4399999999999977,0.009999999999999787,-0.04999489713748417,0.75,1.8227279617483383
2010-02-16,0.0,0.0,-1.2300000000000004,-0.040000000000000036,0.41170519894091484,-1.1200000000000045,1.4022912369568097
2010-02-17,0.0,0.0,-0.4800000000000004,-0.029999999999999805,-0.7749104638313575,2.8700000000000045,0.0
2010-02-18,-2.394219047748969,5.732284848603979,-0.5300000000000011,0.08000000000000007,0.8495807345480166,0.28999999999999204,0.0
2010-02-19,0.26917916657129837,0.07245742371601879,-1.0899999999999999,0.04999999999999982,0.024884031242677906,1.7000000000000028,0.0
2010-02-22,0.8032171697262669,0.6451578217430747,-0.6099999999999994,-0.010000000000000231,0.2980601590700793,0.7999999999999972,0.0
2010-02-23,-0.642056780292144,0.4122369091191144,-0.0799999999999983,0.020000000000000018,-0.1613369908596951,0.27000000000001023,0.5938937044547288
2010-02-24,2.360805506056707,5.573402637427663,1.4299999999999997,-0.10999999999999988,0.42141403045370396,-1.4300000000000068,-2.7289507348696063
2010-02-25,-2.253509358424033,5.078304428504696,-1.1000000000000014,0.010000000000000231,0.0,1.1400000000000006,-0.34312967623817414
2010-02-26,2.253509358424033,5.078304428504696,-0.16999999999999815,-0.06000000000000005,-0.07423603263507772,-1.7600000000000051,0.080842381977142
2010-03-01,-0.13248380441108765,0.017551958431235328,-0.6000000000000014,-0.03000000000000025,-0.5336659281853784,1.730000000000004,0.3871362834946268
2010-03-02,0.0,0.0,-0.23999999999999844,0.0,0.3726287305073406,-1.0100000000000051,1.2201127438455472
2010-03-03,0.23745165571948945,0.05638328880392695,-0.20000000000000284,0.010000000000000231,-0.17372757661142657,0.9100000000000108,-0.40039495329615704
2010-03-04,-2.19774853864525,4.830098639117332,-0.23000000000000043,0.009999999999999787,-0.6728913690074556,1.289999999999992,1.2535867114364052
2010-03-05,0.0,0.0,-0.10999999999999943,-0.020000000000000018,0.7225572714031792,-0.7000000000000028,0.9006860138944361
2010-03-08,2.171018993747431,4.713323471212108,-1.2999999999999972,0.08000000000000007,-0.1614973394585384,1.2900000000000063,0.28869619192972706
2010-03-09,-2.2781427318973257,5.18993430689661,0.36999999999999744,0.03000000000000025,0.0,0.3499999999999943,1.4944551270453132
2010-03-10,0.10712373814989462,0.011475495275207187,0.13000000000000256,-0.010000000000000231,0.19872821849000744,-0.3499999999999943,1.1732409781046726
2010-03-11,2.19774853864525,4.830098639117332,0.6499999999999986,0.020000000000000018,-0.1738691390385405,0.5699999999999932,-0.30391118800565664
2010-03-12,0.0,0.0,-0.5100000000000016,0.0,-0.16171833608753516,0.030000000000001137,-0.19613263325757302
2010-03-15,-0.02672954489781887,0.0007144685704445148,-0.4800000000000004,-0.020000000000000018,-0.6119255549288383,-0.8399999999999892,1.3009699184117984
2010-03-16,0.0,0.0,0.4200000000000017,0.0,0.5247365415493199,-1.4699999999999989,0.0658284534337028
2010-03-17,-0.052483671626291084,0.002754535787376352,-0.3099999999999987,-0.04999999999999982,-0.6250020345171414,1.9599999999999937,-3.011850459080634
2010-03-18,0.06584755098959505,0.00433589997132732,-0.7800000000000011,-0.010000000000000231,-0.13802701328398115,1.1800000000000068,-1.0185787186554052
2010-03-19,-0.013363879363303965,0.0001785932716369416,-0.28999999999999915,0.03000000000000025,0.7256404026735552,-0.7700000000000102,1.7233440921834209
2010-03-22,0.0,0.0,0.34999999999999787,0.020000000000000018,0.6213515609188924,-1.5799999999999983,-0.7222060510456707
2010-03-23,-0.02576815356807316,0.0006639977383078016,-0.09999999999999787,-0.03000000000000025,-0.08675676770568685,0.6800000000000068,-0.8583409549713927
2010-03-24,0.0,0.0,-0.5199999999999996,0.020000000000000018,0.30950194347614257,0.4200000000000017,-0.9920423954514312
2010-03-25,-0.026527518234864544,0.000703709223701071,1.1999999999999993,0.1499999999999999,1.1552233970444803,-1.3900000000000006,1.0975420633396737
2010-03-26,-0.05242464078136777,0.0027483429610554487,0.8499999999999979,0.07000000000000028,0.34155487005023133,-0.04000000000000625,-1.719375499262732
2010-03-29,0.07895215901623232,0.006233443413324434,-0.629999999999999,-0.050000000000000266,-0.5372448004043129,-0.5,0.3787094712511596
2010-03-30,-0.4466962036049793,0.19953749831510112,-0.17999999999999972,0.020000000000000018,-0.3925418350479326,2.1700000000000017,0.07319703186441373
2010-03-31,0.47246435717305246,0.2232225687989457,-0.46000000000000085,0.0,0.13511100638510243,0.21999999999999886,-0.9837220000060931
2010-04-01,0.0,0.0,0.46000000000000085,-0.040000000000000036,-0.4921894070752053,1.3100000000000023,-0.2960120566193325
2010-04-05,-0.052295671802937704,0.0027348372893205735,-0.120000000000001,0.050000000000000266,-0.35835802114521087,1.0799999999999983,1.774877347659043
2010-04-06,0.052295671802937704,0.0027348372893205735,-0.4499999999999993,0.11999999999999966,0.383020877160245,1.8299999999999983,1.292333498703524
2010-04-07,-0.18309609074567135,0.033524178446347114,-0.7899999999999991,-0.029999999999999805,0.3692804044435505,0.18000000000000682,0.10484216391555279
2010-04-08,-0.027626020075999236,0.0007631969852395129,0.39000000000000057,-0.08999999999999986,0.06141749403347774,-0.9000000000000057,0.09503952613743039
2010-04-09,-0.2617422463513819,0.06850900352506747,-0.14000000000000057,0.020000000000000018,0.11044529221910793,-0.46999999999999886,0.021322994992267752
2010-04-12,0.0,0.0,-0.33999999999999986,-0.010000000000000231,-0.5411431906961361,-0.5700000000000074,0.28838264530444135
2010-04-13,-0.10531859846576452,0.011092007182792938,-0.5600000000000005,-0.029999999999999805,-0.6557385690550532,-0.5300000000000011,0.4839263312018005
2010-04-14,0.0,0.0,0.6199999999999992,-0.03000000000000025,-0.0620791259248854,-0.269999999999996,-0.37575556539071187
2010-04-15,0.03899060034662227,0.0015202669153900209,-0.6099999999999994,0.040000000000000036,-0.3982577581409963,1.8200000000000074,-0.3422972042310235
2010-04-16,-0.19717676568138387,0.03887867692457136,0.3000000000000007,-0.020000000000000018,0.36098987986221687,-0.37000000000000455,1.0176439368382972
2010-04-19,0.1054852418487684,0.01112713624789316,2.469999999999999,-0.06999999999999984,0.4215707811504821,-2.280000000000001,0.10349586940376909
2010-04-20,0.051825927314119724,0.0026859267419684207,-1.0199999999999996,0.040000000000000036,0.22246987981047184,-1.4500000000000028,-1.0185210838431047
2010-04-21,-0.15731116916288812,0.0247468039433948,-1.6099999999999994,-0.010000000000000231,0.06171311620253306,1.460000000000008,-0.2984671867021227
2010-04-22,0.10607874361010516,0.011252699845898427,0.5899999999999999,-0.04999999999999982,0.13562742452455367,-0.20000000000000284,0.8696547224252171
2010-04-23,-0.47615582471820517,0.2267243694130741,0.14999999999999858,0.029999999999999805,0.5038983491504112,0.10999999999999943,1.8322549548462241
2010-04-26,0.5017687565427309,0.25177188504243836,0.15000000000000213,0.040000000000000036,-0.2700728663129759,1.4500000000000028,0.0
2010-04-27,0.03890626012843512,0.0015136970771814605,0.8499999999999979,-0.009999999999999787,0.15968176499994158,-0.14000000000000057,0.3583151723376865
2010-04-28,-0.2233823126132961,0.04989965758846435,5.34,-0.1200000000000001,0.8189230499494826,-1.769999999999996,0.8454213232686136
2010-04-29,0.0,0.0,-1.7300000000000004,0.08999999999999986,0.2795792609957104,0.789999999999992,0.6474923079175632
2010-04-30,-0.3437792622843716,0.11818418117678677,-2.639999999999997,-0.040000000000000036,-0.46234084032823475,1.9500000000000028,0.5861865763935548
2010-05-03,0.5548238046966247,0.30782945425803837,3.6099999999999994,-0.06999999999999984,-0.15865903278085014,0.8999999999999915,0.0
2010-05-04,-0.21104454241225312,0.04453979888199731,-1.8599999999999994,0.03000000000000025,0.4873823440532554,0.12000000000000455,0.0
2010-05-05,0.184476052484861,0.03403141394039719,3.6499999999999986,-0.0900000000000003,1.2442105431566652,-3.4599999999999937,1.236857149751014
