variable,n_obs,VIF
us10y_change,4020,1.117248565677571
vix_change,4020,1.1011877865515278
oil_change,4020,1.0715202067892582
dxy_return,4020,1.0624726481715978
vnindex_return,4020,1.0068202499783632
crisis_dummy,4020,1.0010183596741158
