,n_obs,missing,mean,median,std,variance,min,q01,q05,q25,q75,q95,q99,max,skewness,kurtosis_excess,kurtosis_pearson
fx_return,4020.0,1.0,0.00878796576489062,0.0,0.2125348294589498,0.045171053733144874,-2.394219047748969,-0.47581372271682015,-0.2106652450132884,-0.044625692564714776,0.052065223160591124,0.23837637536295148,0.5127574087362683,6.213883505915874,6.475393024623131,210.9132212149268,213.9132212149268
vix_change,4020.0,1.0,-0.0012661691542288553,-0.1000000000000014,1.873688407824013,3.5107082496140847,-18.71,-4.416199999999999,-2.359999999999999,-0.7399999999999984,0.5700000000000003,2.570999999999995,5.6514999999999915,24.86,1.9093711674374811,29.176233191475273,32.176233191475276
us10y_change,4020.0,1.0,8.208955223880631e-05,0.0,0.05355506083501342,0.002868144541041988,-0.3000000000000002,-0.1400000000000005,-0.08,-0.0300000000000002,0.0300000000000002,0.0899999999999998,0.1400000000000001,0.29,0.004272496110812876,1.6145757045743636,4.614575704574364
dxy_return,4020.0,1.0,0.0058993928543869985,0.0096967574817252,0.44739452174037797,0.20016185808330153,-2.3987741028872023,-1.1244632107023327,-0.7155797493245242,-0.2525850105395522,0.2605593761804137,0.7374878376190838,1.1873799767907929,2.032029080443909,-0.03206704425898764,1.5304816795331018,4.530481679533102
oil_change,4020.0,1.0,-0.006034825870646764,0.04500000000000165,1.928517654094941,3.719180342155854,-55.28999999999999,-4.580499999999998,-2.4299999999999935,-0.8099999999999952,0.8399999999999981,2.3004999999999947,3.9005000000000005,45.89,-2.7865013875049502,249.01603856937902,252.01603856937902
vnindex_return,4020.0,1.0,0.030814635758033275,0.06145450759409415,1.178989044852562,1.3900151678823562,-6.964227832344161,-3.8942907637331534,-1.8950337116366842,-0.4584355042821286,0.6519819016848061,1.7349142748694433,2.956329236664748,6.546904849399837,-0.8039711556964775,4.212144259144863,7.212144259144863
